Course name,Campus,"Course code","Fee type", Duration,"Prev LSR","Avail INT"
Bachelor of Health Sciences,Bendigo,187405,CSP,3F/6P,61.25,Y
Bachelor of Health Sciences,Melbourne,197405,CSP,3F/6P,61.70,Y
Bachelor of Information Technology,Bendigo,187410,CSP,3F/6P,N/A,Y
Bachelor of Information Technology,Sydney,196110,CSP,2.5-3F/6P,55.85,Y
Bachelor of Information Technology,Melbourne,197410,CSP,3F/6P,59.00,Y
Bachelor of Languages and Linguistics,Melbourne,197470,CSP,3F/6P,73.55,Y
Bachelor of Laws (Honours),Bendigo,187414,CSP,4F/8P,99.95,Y
Bachelor of Laws (Honours),Melbourne,197414,CSP,4F/8P,N/A,Y
Bachelor of Laws (Honours)/Bachelor of Arts,Bendigo,187413,CSP,5F/10P,83.20,Y
Bachelor of Laws (Honours)/Bachelor of Business,Bendigo,187400,CSP,5F/10P,new,Y
Bachelor of Laws (Honours)/Bachelor of Commerce,Melbourne,197407,CSP,5F/10P,new,Y
Bachelor of Laws (Honours)/Bachelor of Criminology,Bendigo,187421,CSP,5F/10P,98.35,Y
Bachelor of Laws (Honours)/Bachelor of Global Studies,Melbourne,197408,CSP,5F/10P,new,Y
Bachelor of Laws (Honours)/Bachelor of Media and Communication,Melbourne,197409,CSP,5F/10P,new,Y
Bachelor of Laws (Honours)/Bachelor of Politics, Philosophy and Economics,Melbourne,197411,CSP,5F/10P,new,Y
Bachelor of Laws (Honours)/Bachelor of Psychological Science,Bendigo,187417,CSP,5F/10P,80.20,Y
Bachelor of Laws (Honours)/Bachelor of Science,Bendigo,187418,CSP,5F/10P,N/A,Y
Bachelor of Media and Communication,Melbourne,197500,CSP,3F/6P,62.95,Y
Bachelor of Nursing (Pre-registration),Albury-Wodonga,185028,CSP,3F/6P,55.20,Y
Bachelor of Nursing (Pre-registration),Mildura,189928,CSP,3F/6P,82.85,Y
Bachelor of Nursing/Bachelor of Midwifery,Bendigo,187481,CSP,4F/8P,N/A,N
Bachelor of Occupational Therapy (Honours),Bendigo,187408,CSP,4F/8P,83.55,Y
Bachelor of Outdoor and Sustainability Education,Bendigo,187482,CSP,3F/6P,71.90,Y
Bachelor of Paramedic Practice with Honours,Albury-Wodonga,183043,CSP,4F/8P,72.00,N
Bachelor of Paramedic Practice with Honours,Bendigo,187483,CSP,4F/8P,72.00,N
Bachelor of Pharmacy (Honours),Bendigo,187484,CSP,4F/8P,86.25,N
Bachelor of Physiotherapy (Honours),Bendigo,187407,CSP,4F/8P,99.95,Y
Bachelor of Planning (Honours),Bendigo,187480,CSP,4F/8P,N/A,N
Bachelor of Politics, Philosophy and Economics,Melbourne,197510,CSP,3F/6P,65.35,Y
Bachelor of Psychological Science,Albury-Wodonga,187055,CSP,3F/6P,55.20,Y,


Bachelor of Psychological Science,Bendigo,187401,CSP,3F/6P,new,Y
Bachelor of Psychological Science,Melbourne,197412,CSP,3F/6P,new,Y
Bachelor of Psychological Science,Online,181036,CSP,3F/6P,new,N
Bachelor of Psychology (Honours),Albury-Wodonga,187065,CSP,4F/8P,N/A,N
Bachelor of Psychology (Honours),Bendigo,187403,CSP,4F/8P,new,N
Bachelor of Psychology (Honours),Melbourne,197413,CSP,4F/8P,new,N
Bachelor of Psychology (Honours),Online,181037,CSP,4F/8P,new,N
Bachelor of Science,Bendigo,187488,CSP,3F/6P,55.95,N
Bachelor of Social Work (Honours),Albury-Wodonga,183029,CSP,4F/8P,N/A,Y
Bachelor of Social Work (Honours),Mildura,189929,CSP,4F/8P,N/A,Y
Bachelor of Social Work (Honours),Shepparton,188002,CSP,4F/8P,new,Y
Bachelor of Social Work (Honours),Bendigo,187404,CSP,4F/8P,new,Y
Bachelor of Speech Pathology (Honours),Bendigo,187406,CSP,4F/8P,93.05,Y
Bachelor of Visual Arts,Bendigo,187409,CSP,3F/6P,new,Y
Bachelor of Wildlife and Conservation Biology,Melbourne,198001,CSP,3F/6P,81.50,Y
Diploma in Languages,Melbourne,197418,CSP,3P,new,N
Diploma in Urban and Regional Environments,Bendigo,187492,CSP,1F/2P,N/A,Y
Diploma of Arts,Online,183012,CSP,1F/2P,N/A,N
Diploma of Arts,Melbourne,197416,CSP,1F/2P,new,Y
Diploma of Information Technology,Melbourne,197417,CSP,1F/2P,new,N
Diploma of Information Technology,Online,181039,CSP,1F/2P,new,N
Diploma of Rural Health,Bendigo,187494,CSP,1F/2P,N/A,N
Diploma of Rural Health,Mildura,189911,CSP,1F/2P,N/A,N
Diploma of Rural Health,Albury-Wodonga,198002,CSP,1F/2P,N/A,N
Diploma of Rural Health,Shepparton,188004,CSP,1F/2P,new,N
Diploma of Teacher Education,Melbourne,187081,CSP,1F/2P,N/A,Y
Diploma of Teacher Education,Mildura,188081,CSP,1F/2P,N/A,Y
Diploma of Teacher Education,Shepparton,193081,CSP,1F/2P,N/A,Y
Diploma of Teacher Education,Bendigo,198081,CSP,1F/2P,N/A,Y
Diploma of Teacher Education,Albury-Wodonga,183014,CSP,1F/2P,new,Y


Bachelor of Actuarial Studies,North Ryde,300239,CSP,3F,95.75,Y
Bachelor of Actuarial Studies with Professional Practice (Honours),North Ryde,300238,CSP,4F,N/A,N
Bachelor of Ancient History,North Ryde,300103,CSP,3F/EqP,80.20,Y
Bachelor of Ancient History,Distance,300104,CSP,3F/EqP/D,82.60,Y
Bachelor of Applied Finance,North Ryde,300202,CSP,3F/EqP,N/A,Y
Bachelor of Applied Finance and Bachelor of Actuarial Studies,North Ryde,302239,CSP,4F,95.50,Y
Bachelor of Applied Finance and Bachelor of Laws,North Ryde,302166,CSP,5F/EqP,96.90,Y
Bachelor of Applied Finance and Bachelor of Professional Accounting,North Ryde,302203,CSP,4F/EqP,88.20,Y
Bachelor of Archaeology,North Ryde,300128,CSP,3F/EqP,81.75,Y
Bachelor of Arts,North Ryde,300101,CSP,3F/EqP,75.35,Y
Bachelor of Arts,Distance,300102,CSP,3F/EqP/D,N/A,N
Bachelor of Arts and Bachelor of Commerce,North Ryde,302251,CSP,4F/EqP,84.30,Y
Bachelor of Arts and Bachelor of Cyber Security,North Ryde,302568,CSP,4.5F/EqP,87.60,Y
Bachelor of Arts and Bachelor of Education (Primary),North Ryde,302440,CSP,4F/EqP,75.00,Y
Bachelor of Arts and Bachelor of Education (Secondary),North Ryde,302445,CSP,4F/EqP,75.50,Y
Bachelor of Arts and Bachelor of Engineering (Honours),North Ryde,302580,CSP,5F/EqP,81.10,Y
Bachelor of Arts and Bachelor of Information Technology,North Ryde,302102,CSP,4F/EqP,75.40,Y
Bachelor of Arts and Bachelor of Laws,North Ryde,302160,CSP,5F/EqP,96.00,Y
Bachelor of Arts and Bachelor of Linguistics and Language Sciences,North Ryde,302432,CSP,4F/EqP,76.75,Y
Bachelor of Arts and Bachelor of Medical Sciences,North Ryde,302560,CSP,4F/EqP,91.45,Y
Bachelor of Arts and Bachelor of Science,North Ryde,302555,CSP,4F/EqP,75.30,Y
Bachelor of Biodiversity and Conservation,North Ryde,300573,CSP,3F/EqP,85.25,Y
Bachelor of Business,North Ryde,300289,CSP,3F/EqP,new,Y
Bachelor of Business Analytics,North Ryde,300211,CSP,3F/EqP,81.10,Y
Bachelor of Business Analytics and Bachelor of Applied Finance,North Ryde,302201,CSP,4F/EqP,N/A,Y
Bachelor of Business Analytics and Bachelor of Professional Accounting,North Ryde,302233,CSP,4F/EqP,N/A,Y
Bachelor of Chiropractic Science,North Ryde,300562,CSP,3F/EqP,80.00,Y
Bachelor of Clinical Science,North Ryde,300676,CSP,2F,90.30,Y
Bachelor of Cognitive and Brain Sciences,North Ryde,300435,CSP,3F/EqP,80.60,Y
Bachelor of Cognitive and Brain Sciences and Bachelor of Information Technology,North Ryde,302436,CSP,4F/EqP,84.45,Y
Bachelor of Cognitive and Brain Sciences and Bachelor of Psychology,North Ryde,302438,CSP,4F/EqP,80.85,Y
Bachelor of Combined Studies,North Ryde,302000,CSP,TBA,N/A,Y
Bachelor of Commerce,North Ryde,300221,CSP,3F/EqP,80.25,Y
Bachelor of Commerce and Bachelor of Education (Secondary),North Ryde,302446,CSP,4F/EqP,81.10,Y
Bachelor of Commerce and Bachelor of Engineering (Honours),North Ryde,302581,CSP,5.5F/EqP,81.20,Y
Bachelor of Commerce and Bachelor of Human Sciences,North Ryde,302255,CSP,4F/EqP,N/A,Y
Bachelor of Commerce and Bachelor of Information Technology,North Ryde,302253,CSP,4F/EqP,81.95,Y
Bachelor of Commerce and Bachelor of Laws,North Ryde,302165,CSP,5F/EqP,96.15,Y
Bachelor of Commerce and Bachelor of Psychology,North Ryde,302417,CSP,4F/EqP,80.55,Y
Bachelor of Commerce and Bachelor of Security Studies,North Ryde,302150,CSP,4F/EqP,84.70,Y
Bachelor of Cyber Security,North Ryde,300568,CSP,3F/EqP,80.20,Y
Bachelor of Cyber Security and Bachelor of Laws,North Ryde,302174,CSP,5.5F/EqP,97.10,Y
Bachelor of Economics,North Ryde,300215,CSP,3F/EqP,93.20,Y
Bachelor of Economics and Bachelor of Applied Finance,North Ryde,302202,CSP,4F/EqP,87.10,Y
Bachelor of Economics and Bachelor of Business Analytics,North Ryde,302232,CSP,4F/EqP,91.55,Y


Bachelor of Education (Primary) and Bachelor of Psychology,North Ryde,302441,CSP,4F/EqP,80.95,Y
Bachelor of Engineering (Honours) with a specialisation in Civil Engineering,North Ryde,300585,CSP,4F/EqP,80.15,Y
"Bachelor of Engineering (Honours) with a specialisation in Electrical and Electronic Engineering",North Ryde,300587,CSP,4F/EqP,80.00,Y
"Bachelor of Engineering (Honours) with a specialisation in Mechanical Engineering",North Ryde,300582,CSP,4F/EqP,80.20,Y
"Bachelor of Engineering (Honours) with a specialisation in Mechatronic Engineering",North Ryde,300583,CSP,4F/EqP,80.50,Y
Bachelor of Engineering (Honours) with a specialisation in Software Engineering,North Ryde,300586,CSP,4F/EqP,80.35,Y
Bachelor of Environment,North Ryde,300549,CSP,3F/EqP,84.15,Y
Bachelor of Environment and Bachelor of Engineering (Honours),North Ryde,302584,CSP,5.5F/EqP,92.45,Y
Bachelor of Environment and Bachelor of Laws,North Ryde,302177,CSP,5F/EqP,99.95,Y
Bachelor of Exercise and Sports Science,North Ryde,300436,CSP,3F/EqP,80.15,Y
Bachelor of Game Design and Development,North Ryde,300542,CSP,3F/EqP,81.00,Y
Bachelor of Information Technology,North Ryde,300540,CSP,3F/EqP,75.00,Y
Bachelor of Information Technology and Bachelor of Actuarial Studies,North Ryde,302241,CSP,4F,96.20,Y
Bachelor of Information Technology and Bachelor of Engineering (Honours),North Ryde,302583,CSP,5F/EqP,83.95,Y
Bachelor of Information Technology and Bachelor of Laws,North Ryde,302178,CSP,5F/EqP,N/A,Y
Bachelor of International Studies,North Ryde,300113,CSP,3F/EqP,78.70,Y
Bachelor of International Studies and Bachelor of Laws,North Ryde,302161,CSP,5F/EqP,96.05,Y
Bachelor of Laws,North Ryde,300160,CSP,4F/EqP,96.05,Y
Bachelor of Laws and Bachelor of Engineering (Honours),North Ryde,302176,CSP,6.5F/EqP,96.15,Y
Bachelor of Linguistics and Language Sciences,North Ryde,300432,CSP,3F,75.30,Y
Bachelor of Linguistics and Language Sciences and Bachelor of Laws,North Ryde,302172,CSP,5F/EqP,N/A,Y
"Bachelor of Linguistics and Language Sciences and Bachelor of Marketing and Media",North Ryde,302226,CSP,4.5F/EqP,N/A,Y
Bachelor of Marketing and Media,North Ryde,300226,CSP,3F/EqP,93.00,Y
Bachelor of Media and Communications,North Ryde,300154,CSP,3F/EqP,75.05,Y
Bachelor of Media and Communications and Bachelor of Cyber Security,North Ryde,302569,CSP,4.5F/EqP,80.90,Y
Bachelor of Media and Communications and Bachelor of Laws,North Ryde,302164,CSP,5F/EqP,96.80,Y
Bachelor of Media and Communications and Bachelor of Science,North Ryde,302556,CSP,4F/EqP,75.65,Y
Bachelor of Medical Sciences,North Ryde,300560,CSP,3F/EqP,85.60,Y
Bachelor of Medical Sciences and Bachelor of Cognitive and Brain Sciences,North Ryde,302437,CSP,4F/EqP,87.75,Y
Bachelor of Medical Sciences and Bachelor of Laws,North Ryde,302180,CSP,5F/EqP,96.40,Y
Bachelor of Music,North Ryde,300148,CSP,3F/EqP,75.35,Y
Bachelor of Planning,North Ryde,300141,CSP,4F/EqP,75.40,Y
Bachelor of Professional Accounting,North Ryde,300223,CSP,3F/EqP,84.75,Y
Bachelor of Professional Accounting and Bachelor of Laws,North Ryde,302168,CSP,5F/EqP,N/A,Y
Bachelor of Psychology,North Ryde,300416,CSP,3F/EqP,80.00,Y
Bachelor of Psychology and Bachelor of Laws,North Ryde,302170,CSP,5F/EqP,98.85,Y
Bachelor of Science,North Ryde,300555,CSP,3F/EqP,75.05,Y
Bachelor of Science and Bachelor of Actuarial Studies,North Ryde,302242,CSP,4F,97.25,Y
Bachelor of Science and Bachelor of Cognitive and Brain Sciences,North Ryde,302435,CSP,4F/EqP,94.15,Y
Bachelor of Science and Bachelor of Commerce,North Ryde,302557,CSP,4F/EqP,86.90,Y
Bachelor of Science and Bachelor of Education (Secondary),North Ryde,302448,CSP,4F/EqP,75.55,Y
Bachelor of Science and Bachelor of Engineering (Honours),North Ryde,302582,CSP,5F/EqP,90.40,Y
Bachelor of Science and Bachelor of Information Technology,North Ryde,302558,CSP,4F/EqP,81.30,Y
Bachelor of Science and Bachelor of Laws,North Ryde,302181,CSP,5F/EqP,99.85,Y


Bachelor of Security Studies,North Ryde,300150,CSP,3F/EqP,75.90,Y
Bachelor of Security Studies,Distance,300151,CSP,3F/EqP/D,80.65,N
Bachelor of Security Studies and Bachelor of Business Analytics,North Ryde,302231,CSP,4F/EqP,N/A,Y
Bachelor of Security Studies and Bachelor of Laws,North Ryde,302162,CSP,5F/EqP,96.25,Y
Bachelor of Social Science,North Ryde,300110,CSP,3F/EqP,75.35,Y
Bachelor of Social Science,Distance,300111,CSP,3F/EqP/D,82.95,N
Bachelor of Social Science and Bachelor of Laws,North Ryde,302163,CSP,5F/EqP,96.65,Y
Bachelor of Speech and Hearing Sciences,North Ryde,300428,CSP,3F/EqP,83.20,Y
Bachelor of Speech and Hearing Sciences and Bachelor of Psychology,North Ryde,302419,CSP,4F/EqP,85.25,Y
Bachelor of Teaching (Early Childhood Education),North Ryde,300423,CSP,4F/EqP,76.30,Y
Bachelor of Teaching (Early Childhood Education),Distance,300424,CSP,4F/EqP/D,N/A,N
Combined Bachelor of Security Studies and Master Degrees,"North Ryde or Distance",303101,CBF,4F/EqP,80.10,N
Diploma of Arts Media and Communications,North Ryde,301003,CSP,1F,N/A,Y
Diploma of Business,North Ryde,301036,CSP,1F,60.35,Y
Diploma of Business Analytics,North Ryde,301032,CSP,1F,66.45,Y
Diploma of Commerce,North Ryde,301004,CSP,1F,60.10,Y
Diploma of Engineering,North Ryde,301008,CSP,1F,62.40,Y
Diploma of Game Design and Development,North Ryde,301040,CSP,1F,64.55,Y
Diploma of Information Technology,North Ryde,301006,CSP,1F,61.00,Y
Diploma of Marketing and Media,North Ryde,301034,CSP,1F,61.00,Y
Diploma of Software Engineering,North Ryde,301038,CSP,1F,61.20,Y
Intensive Program,North Ryde,301020,DFEE,0.33F,50.65,Y
Standard Foundation Program,North Ryde,301021,DFEE,0.66F,N/A,Y
Undergraduate Certificate of Accounting (Bachelor Pathway),North Ryde,301211,CSP,0.33F,60.60,N
Undergraduate Certificate of Actuarial Studies (Bachelor Pathway),North Ryde,301217,CSP,0.33F,63.70,N
Undergraduate Certificate of Business (Bachelor Pathway),North Ryde,301213,CSP,0.33F,62.10,N
Undergraduate Certificate of Business Analytics (Bachelor Pathway),North Ryde,301203,CSP,0.33F,N/A,N
Undergraduate Certificate of Commerce (Bachelor Pathway),North Ryde,301225,CSP,0.33F,60.10,N
Undergraduate Certificate of Cyber Security (Bachelor Pathway),North Ryde,301205,CSP,0.33F,60.90,N
Undergraduate Certificate of Engineering (Bachelor Pathway),North Ryde,301209,CSP,0.33F,62.80,N
Undergraduate Certificate of Finance (Bachelor Pathway),North Ryde,301219,CSP,0.33F,N/A,N
Undergraduate Certificate of Game Design (Bachelor Pathway),North Ryde,301201,CSP,0.33F,62.70,N
Undergraduate Certificate of Humanities (Bachelor Pathway),North Ryde,301221,CSP,0.33F,63.60,N
Undergraduate Certificate of Information Technology (Bachelor Pathway),North Ryde,301207,CSP,0.33F,60.25,N
Undergraduate Certificate of Marketing (Bachelor Pathway),North Ryde,301215,CSP,0.33F,62.00,N
Undergraduate Certificate of Media (Bachelor Pathway),North Ryde,301223,CSP,0.33F,70.45,N
Undergraduate Certificate of Software Engineering (Bachelor Pathway),North Ryde,301227,CSP,0.33F,71.55,N


AssocDeg Law (Paralegal Studies) Gold Coast,336361 CSP,,2F/4P,N/A
AssocDeg of Engineering Lismore,334302 CSP,,2F/4P,N/A
AssocDeg of Engineering Gold Coast,334362 CSP,,2F/4P,N/A
Associate Degree of International Tourism and Hotel Management Hotel School Melbourne,354300 DFEE,,2F/4P,N/A
Associate Degree of International Tourism and Hotel Management The Hotel School Sydney,354340 DFEE,,2F/4P,N/A
The Hotel School Associate Degree of International Tourism and Hotel Management N/ABrisbane,354360 DFEE,,2F/4P,
Bachelor of Art and Design Lismore,333110 CSP,,3F/6P,68.45
Bachelor of Arts Lismore,333100 CSP,,3F/6P,N/A
Bachelor of Arts Gold Coast,333161 CSP,,3F/6P,N/A
Bachelor of Arts/Bachelor of Laws Gold Coast,336168 CSP,,5F/10P,N/A
Bachelor of Biomedical Science Gold Coast,335165 CSP,,3F/6P,84.05
Bachelor of Business and Enterprise Lismore,332110 CSP,,3F/6P,new
Bachelor of Business and Enterprise Gold Coast,332166 CSP,,3F/6P,82.00
Bachelor of Business and Enterprise (Accounting) Gold Coast,332167 CSP,,3F/6P,70.00
Bachelor of Business and Enterprise (Financial Services) Gold Coast,332168 CSP,,3F/6P,N/A
Bachelor of Business in Hotel Management Hotel School Melbourne,334108 DFEE,,3F/6P,N/A
Bachelor of Business in Hotel Management The Hotel School Sydney,334141 DFEE,,3F/6P,N/A
The Hotel School Bachelor of Business in Hotel Management N/ABrisbane,334164 DFEE,,3F/6P,
Bachelor of Clinical Exercise Physiology Lismore,335114 CSP,,4F/8P,N/A
Bachelor of Clinical Exercise Physiology Coffs Harbour,335156 CSP,,4F/8P,N/A
Bachelor of Clinical Exercise Physiology Gold Coast,335170 CSP,,4F/8P,N/A
Bachelor of Clinical Sciences (Osteopathic Studies) Gold Coast,330167 CSP,,3F/6P,N/A
Bachelor of Clinical Sciences (Osteopathic Studies) Lismore,335115 CSP,,3F/6P,N/A
Bachelor of Community Welfare Gold Coast,331162 CSP,,3F/6P,N/A
Bachelor of Computing in Industry (Honours) Gold Coast,331163 CSP,,4F/8P,new
Bachelor of Contemporary Music Lismore,333101 CSP,,3F/6P,60.80
Bachelor of Contemporary Music Coomera,333131 CSP,,3F/6P,N/A
Bachelor of Counselling and Psychotherapy* Lismore,333105 CSP,,3F/6P,new
Bachelor of Counselling and Psychotherapy* Coffs Harbour,333107 CSP,,3F/6P,new
Bachelor of Counselling and Psychotherapy* Gold Coast,333106 CSP,,3F/6P,new
Bachelor of Digital Media Lismore,333103 CSP,,3F/6P,60.35
Bachelor of Digital Media Coomera,333130 CSP,,3F/6P,N/A
Bachelor of Early Childhood Education Gold Coast,331169 CSP,,4F/8P,N/A
Bachelor of Education (Early Childhood/Primary) Lismore,331116 CSP,,4F/8P,N/A
Bachelor of Education (Early Childhood/Primary) Gold Coast,331172 CSP,,4F/8P,N/A
Bachelor of Education (Early Childhood/Primary) Coffs Harbour,331182 CSP,,4F/8P,N/A
Bachelor of Education (Primary) Lismore,331115 CSP,,4F/8P,N/A
Bachelor of Education (Primary) Gold Coast,331171 CSP,,4F/8P,N/A
Bachelor of Education (Primary) Coffs Harbour,331181 CSP,,4F/8P,N/A
Bachelor of Education (Primary/Secondary) Lismore,331118 CSP,,4F/8P,N/A
Bachelor of Education (Primary/Secondary) Gold Coast,331173 CSP,,4F/8P,N/A
Bachelor of Education (Primary/Secondary) Coffs Harbour,331183 CSP,,4F/8P,N/A
Bachelor of Education (Secondary) Lismore,331119 CSP,,4F/8P,N/A
Bachelor of Education (Secondary) Gold Coast,331174 CSP,,4F/8P,N/A
Bachelor of Education (Secondary) Coffs Harbour,331184 CSP,,4F/8P,N/A


Bachelor of Education (Technology/Secondary),Online,331190,CSP,4F/8P,N/A
Bachelor of Engineering Systems (Honours) (Civil Engineering),Lismore,334127,CSP,4F/8P,N/A
Bachelor of Engineering Systems (Honours) (Civil Engineering),Gold Coast,334167,CSP,2F/4P,73.85
"Bachelor of Engineering Systems (Honours) (Civil Engineering)/Bachelor of
Business and Enterprise*",Gold Coast,334169,CSP,5F/10P,new
Bachelor of Engineering Systems (Honours) (Mechanical Engineering),Lismore,334117,CSP,4F/8P,82.20
Bachelor of Engineering Systems (Honours) (Mechanical Engineering),Gold Coast,334168,CSP,2F/4P,71.90
"Bachelor of Engineering Systems (Honours) (Mechanical Engineering)/Bachelor of
Business and Enterprise*",Gold Coast,334170,CSP,5F/10P,new
Bachelor of Exercise Science and Psychological Science,Gold Coast,335106,CSP,4F/8P,75.60
Bachelor of Exercise Science and Psychological Science,Lismore,335112,CSP,4F/8P,78.50
Bachelor of Exercise Science and Psychological Science,Coffs Harbour,335155,CSP,4F/8P,N/A
Bachelor of Health Science (Health and Lifestyle),Gold Coast,335161,CSP,3F/6P,new
Bachelor of Health Science (Health and Lifestyle),Lismore,335113,CSP,3F/6P,N/A
Bachelor of Indigenous Knowledge,Lismore,337118,CSP,3F/6P,N/A
Bachelor of Information Technology,Coomera,332130,CSP,3F/6P,81.40
Bachelor of Information Technology,Gold Coast,332161,CSP,3F/6P,N/A
"Bachelor of Information Technology/Bachelor of Business and Enterprise (Accounting)*",Gold Coast,332169,CSP,4F/8P,new
"Bachelor of Information Technology/Bachelor of Business and Enterprise (Financial Services)*",Gold Coast,332170,CSP,4F/8P,new
Bachelor of Information Technology/Bachelor of Business and Enterprise*,Gold Coast,332171,CSP,4F/8P,new
Bachelor of Laws,Gold Coast,336167,CSP,4F/8P,82.20
Bachelor of Laws/Bachelor of Business and Enterprise,Gold Coast,336166,CSP,5F/10P,N/A
Bachelor of Legal and Justice Studies,Gold Coast,336161,CSP,3F/6P,61.25
Bachelor of Midwifery,Coffs Harbour,335153,CSP,3F/6P,N/A
Bachelor of Midwifery,Gold Coast,335167,CSP,3F/6P,N/A
Bachelor of Nursing,Lismore,335101,CSP,3F/6P,N/A
Bachelor of Nursing,Coffs Harbour,335151,CSP,3F/6P,N/A
Bachelor of Nursing,Gold Coast,335164,CSP,3F/6P,N/A
Bachelor of Occupational Therapy,Coffs Harbour,335150,CSP,4F/8P,N/A
Bachelor of Occupational Therapy,Gold Coast,335168,CSP,4F/8P,N/A
Bachelor of Psychological Science,Gold Coast,335062,CSP,3F/6P,75.70
Bachelor of Psychological Science,Coffs Harbour,335152,CSP,3F/6P,76.75
"Bachelor of Psychological Science/Bachelor of Business and Enterprise (Accounting)*",Gold Coast,335067,CSP,4F/8P,new
"Bachelor of Psychological Science/Bachelor of Business and Enterprise (Financial Services)*",Gold Coast,335068,CSP,4F/8P,new
Bachelor of Psychological Science/Bachelor of Business and Enterprise*,Gold Coast,335069,CSP,4F/8P,new
Bachelor of Psychological Science/Bachelor of Laws,Coffs Harbour,336150,CSP,5F/10P,N/A
Bachelor of Psychological Science/Bachelor of Laws,Gold Coast,336165,CSP,5F/10P,N/A
Bachelor of Science,Lismore,334107,CSP,3F/6P,84.10
Bachelor of Science (Earth and Environmental Systems),Lismore,334123,CSP,3F/6P,72.80
Bachelor of Science (Forestry Systems),Lismore,334121,CSP,3F/6P,N/A
Bachelor of Science (Marine Systems),"National Marine Science Centre, Coffs Harbour",334157,CSP,3F/6P,65.25
Bachelor of Science (Regenerative Agriculture),Lismore,334122,CSP,3F/6P,93.45
Bachelor of Social Work,Gold Coast,331168,CSP,4F/8P,61.75


Bachelor of Speech Pathology,Coffs Harbour,330138,CSP,4F/8P,78.65,
Bachelor of Speech Pathology,Gold Coast,330168,CSP,4F/8P,75.70,
Bachelor of Sport and Exercise Science,Lismore,335100,CSP,3F/6P,65.60,
Bachelor of Sport and Exercise Science,Coffs Harbour,335154,CSP,3F/6P,N/A,
Bachelor of Sport and Exercise Science,Gold Coast,338160,CSP,3F/6P,65.25,
Diploma of Business (Business and Enterprise),Gold Coast,332062,CSP,1F/2P,N/A,
Diploma of Business (Tourism),Gold Coast,332064,CSP,1F/2P,N/A,
Diploma of Education (Primary),Lismore,338012,CSP,1F/2P,new,
Diploma of Education (Primary),Coffs Harbour,338014,CSP,1F/2P,new,
Diploma of Education (Primary),Gold Coast,338013,CSP,1F/2P,new,
Diploma of Education (Secondary),Lismore,338015,CSP,1F/2P,new,
Diploma of Education (Secondary),Coffs Harbour,338017,CSP,1F/2P,new,
Diploma of Education (Secondary),Gold Coast,338016,CSP,1F/2P,new,
Diploma of Education (Technology Secondary),Lismore,338018,CSP,1F/2P,new,
Diploma of Education (Technology Secondary),Coffs Harbour,338020,CSP,1F/2P,new,
Diploma of Education (Technology Secondary),Gold Coast,338019,CSP,1F/2P,new,
Diploma of Engineering,Lismore,338021,CSP,1F/2P,new,
Diploma of Engineering,Gold Coast,338022,CSP,1F/2P,new,
Diploma of Health (Biomedical Science),Gold Coast,335076,CSP,1F/2P,N/A,
Diploma of Health (Community Welfare),Gold Coast,335066,CSP,1F/2P,N/A,
Diploma of Health (Exercise Science and Exercise Physiology),Lismore,335014,CSP,1F/2P,59.10,
Diploma of Health (Exercise Science and Exercise Physiology),Coffs Harbour,335053,CSP,1F/2P,N/A,
Diploma of Health (Exercise Science and Exercise Physiology),Gold Coast,335075,CSP,1F/2P,61.15,
Diploma of Health (Naturopathic Studies),Lismore,335013,CSP,1F/2P,N/A,
Diploma of Health (Naturopathic Studies),Gold Coast,335064,CSP,1F/2P,N/A,
Diploma of Health (Nursing),Lismore,335015,CSP,1F/2P,52.65,
Diploma of Health (Nursing),Coffs Harbour,335055,CSP,1F/2P,53.25,
Diploma of Health (Nursing),Gold Coast,335079,CSP,1F/2P,50.90,
Diploma of Health (Occupational Therapy),Coffs Harbour,335052,CSP,1F/2P,49.35,
Diploma of Health (Occupational Therapy),Gold Coast,335073,CSP,1F/2P,47.55,
Diploma of Health (Osteopathic Studies),Lismore,335016,CSP,1F/2P,59.25,
Diploma of Health (Osteopathic Studies),Gold Coast,335077,CSP,1F/2P,51.75,
Diploma of Health (Psychological Science),Coffs Harbour,335054,CSP,1F/2P,N/A,
Diploma of Health (Psychological Science),Gold Coast,335078,CSP,1F/2P,60.45,
Diploma of Hotel Management,Hotel School Melbourne,354001,DFEE,1F/2P,N/A,
Diploma of Hotel Management,The Hotel School Sydney,354040,DFEE,1F/2P,N/A,
Diploma of Hotel Management,"The Hotel School Brisbane",354060,DFEE,1F/2P,N/A,
Diploma of Information Technology,Gold Coast,332065,CSP,1F/2P,54.55,
Diploma of Regenerative Agriculture,Lismore,334015,CSP,1F/2P,N/A,
Diploma of Regenerative Agriculture (Soil Management),Lismore,334016,CSP,1F/2P,new,
Diploma of Science (Earth and Environmental Systems),Lismore,334001,CSP,1F/2P,52.85,
Diploma of Science (Forestry Systems),Lismore,334002,CSP,1F/2P,N/A,


Bachelor of 3D Design and Animation,Sydney (Ultimo) and Online,551020,DFEE,3F/6P/D,N/A,Y
Bachelor of Applied Business (Management),Online,550011,DFEE,2F/4P/D,new,N
Bachelor of Applied Business (Marketing),Online,550012,DFEE,2F/4P/D,new,N
Bachelor of Applied Entrepreneurship,Online,550013,DFEE,2F/4P/D,new,N
Bachelor of Branded Fashion Design,Sydney (Ultimo) and Online,551030,DFEE,3F/6P/D,N/A,Y
