Course name,Campus,"Course code","Fee type", Duration,"Prev LSR","Avail INT"
"Bachelor of Education (Secondary)/Bachelor of Arts (Visual Arts)",Strathfield (Mount St Mary),101107,CSP,4F/EqP,63.05,Y
"Bachelor of Educational Studies",North Sydney (MacKillop),101124,CSP,3F/EqP,61.10,N
"Bachelor of Educational Studies",Canberra (Signadou),101125,CSP,3F/EqP,59.25,N
"Bachelor of Educational Studies",Strathfield (Mount St Mary),101126,CSP,3F/EqP,60.50,Y
"Bachelor of Educational Studies",Blacktown,101127,CSP,3F/EqP,N/A,N
"Bachelor of Exercise and Sport Science/Bachelor of Nutrition Science",Blacktown,105535,CSP,4F/EqP,60.25,Y
"Bachelor of Exercise and Sports Science",Strathfield (Mount St Mary),105504,CSP,3F/EqP,60.10,Y
"Bachelor of Exercise and Sports Science",Blacktown,105529,CSP,3F/EqP,58.55,Y
"Bachelor of Exercise and Sports Science/Bachelor of Nutrition Science",Strathfield (Mount St Mary),105530,CSP,4F/EqP,60.75,Y
"Bachelor of Exercise Science/Bachelor of Business Administration",Strathfield (Mount St Mary),105516,CSP,4F/EqP,65.50,Y
"Bachelor of High Performance Sport",Strathfield (Mount St Mary),105505,CSP,2.5-3F/EqP,59.55,Y
"Bachelor of High Performance Sport",Blacktown,105528,CSP,2.5-3F/EqP,63.50,Y
"Bachelor of Human Rights",North Sydney (MacKillop),107027,CSP,3F/6P,N/A,Y
"Bachelor of Human Rights",Strathfield (Mount St Mary),107028,CSP,3F/6P,99.95,Y
"Bachelor of Human Rights/Bachelor of Criminology and Criminal Justice",North Sydney (MacKillop),107025,CSP,5F/10P,61.00,Y
"Bachelor of Human Rights/Bachelor of Criminology and Criminal Justice",Strathfield (Mount St Mary),107026,CSP,5F/10P,65.30,Y
"Bachelor of Human Rights/Bachelor of Laws",Strathfield (Mount St Mary),105512,CSP,5F/10P,83.80,Y
"Bachelor of Human Rights/Bachelor of Laws",North Sydney (MacKillop),107012,CSP,5F/10P,N/A,Y
"Bachelor of Information Technology",North Sydney (MacKillop),103708,CSP,3F/EqP,59.05,Y
"Bachelor of Information Technology",Blacktown,103725,CSP,3F/EqP,N/A,N
"Bachelor of Information Technology/Bachelor of Business Administration",North Sydney (MacKillop),103712,CSP,4F/EqP,64.20,Y
"Bachelor of Laws",North Sydney (MacKillop),107000,CSP,4F/EqP,75.25,Y
"Bachelor of Laws",Blacktown,107017,CSP,4F/EqP,75.20,Y
"Bachelor of Laws (Graduate Entry)",North Sydney (MacKillop),107007,CSP,3F/EqP,N/A,N
"Bachelor of Laws/Bachelor of Global Studies",North Sydney (MacKillop),107003,CSP,5F/EqP,75.05,Y
"Bachelor of Midwifery",Blacktown,105527,CSP,3F/EqP,85.90,N
"Bachelor of Nursing",North Sydney (MacKillop),105501,CSP,3F/EqP,58.50,Y
"Bachelor of Nursing",Canberra (Signadou),105502,CSP,3F/EqP,58.65,Y
Bachelor of Nursing,Blacktown,105526,CSP,3F/EqP,58.50,Y

Bachelor of Nursing (for Enrolled Nurses - Dip Nursing entry),North Sydney (MacKillop),105518,CSP,2F/EqP,N/A,N
Bachelor of Nursing (for Enrolled Nurses - Dip Nursing entry),Canberra (Signadou),105519,CSP,2F/EqP,N/A,N
Bachelor of Nursing (for Enrolled Nurses - Dip Nursing entry),Blacktown,105533,CSP,2F/EqP,N/A,N
Bachelor of Nursing/Bachelor of Business Administration,North Sydney (MacKillop),105509,CSP,4F/EqP,59.25,Y
Bachelor of Nursing/Bachelor of Paramedicine,Canberra (Signadou),105510,CSP,4F/EqP,90.40,N
Bachelor of Nutrition Science,North Sydney (MacKillop),107016,CSP,3F/EqP,59.25,Y
Bachelor of Nutrition Science,Blacktown,107018,CSP,3F/EqP,58.80,Y
Bachelor of Nutrition Science/Bachelor of Business Administration,North Sydney (MacKillop),105707,CSP,4F/EqP,58.75,Y
Bachelor of Occupational Therapy,North Sydney (MacKillop),105513,CSP,4F/EqP,92.35,Y
Bachelor of Philosophy/Bachelor of Laws,North Sydney (MacKillop),107006,CSP,5F/EqP,76.95,Y
Bachelor of Physiotherapy,North Sydney (MacKillop),105506,CSP,4F,97.05,Y
